date,SP01,SP02,SP03,SP04,SP05,WS01,WS02,WS03
2020.09.15 02:23,3.13,15.24,4.60,1.35,2.12,0.78,5.39,0.98
2020.09.15 02:24,0.98,1.76,1.17,0.98,3.59,5.86,0.59,1.76
2020.09.15 02:25,3.07,0.98,1.57,1.96,1.17,1.53,1.38,0.57
2020.09.15 02:26,1.18,5.77,34.42,13.85,12.51,4.50,1.18,1.57
2020.09.15 02:27,16.80,1.73,1.17,1.93,2.35,5.96,0.97,3.71
2020.09.15 02:28,3.91,1.71,1.76,2.35,3.33,5.47,2.35,4.61
2020.09.15 02:29,15.24,2.35,0.44,1.37,10.58,3.71,1.18,0.41
2020.09.15 02:30,4.89,0.78,0.27,0.96,2.12,1.37,0.58,19.19
2020.09.15 02:31,4.89,8.85,32.88,13.85,14.42,3.52,5.77,3.91
2020.09.15 02:32,16.80,2.31,4.30,1.56,1.35,0.39,0.78,0.58
2020.09.15 02:33,2.35,5.86,2.15,1.17,17.58,15.19,2.48,13.26
2020.09.15 02:34,4.11,1.54,0.01,0.98,1.69,9.42,1.35,0.58
2020.09.15 02:35,3.52,2.74,2.15,2.13,1.54,14.23,1.34,5.28
2020.09.15 02:36,1.56,4.81,14.07,12.50,14.65,3.61,0.99,3.25
2020.09.15 02:37,1.76,14.85,9.18,1.96,1.35,4.04,6.06,1.58
2020.09.15 02:38,3.91,2.31,1.54,1.16,1.37,4.04,0.59,1.96
2020.09.15 02:39,16.02,1.57,2.15,1.73,9.81,2.54,1.57,1.96
2020.09.15 02:40,2.93,2.35,1.37,1.77,1.18,1.34,0.77,14.85
2020.09.15 02:41,3.33,16.02,24.42,13.89,20.12,5.19,1.57,4.23
2020.09.15 02:42,14.07,1.95,1.16,2.94,1.96,11.92,0.98,0.96
2020.09.15 02:43,2.95,3.27,2.15,0.79,1.73,2.74,3.91,0.98
2020.09.15 02:44,14.46,0.78,1.57,8.47,1.37,1.18,2.55,2.84
2020.09.15 02:45,14.07,2.50,2.15,1.01,12.11,2.35,2.32,1.49
2020.09.15 02:46,4.89,5.58,22.50,15.77,12.89,1.74,3.92,6.14
